CVE_ENTIDAD,ENTIDAD,CVE_MUNICIPIO,MUNICIPIO,CVE_LOCALIDAD,LOCALIDAD,INSTITUCION,NOMBRE_INSTITUCION,ESCUELA,NOMBRE_ESCUELA,CV_CONTROL,CONTROL,CV_SUBCONTROL,C_SUBCONTROL,ESC_POS_ESC,ALUM_POS_ESC,POS_HOMBRES_ESC,POS_MUJERES_ESC,NI_POS_TOTALES_ESC,NI_POS_HOMBRES_ESC,NI_POS_MUJERES_ESC,EGRE_POS_TOTAL_ESC,EGRE_POS_HOMBRES_ESC,EGRE_POS_MUJERES_ESC,TITU_POS_TOTAL_ESC,TITU_POS_HOMBRES_ESC,TITU_POS_MUJERES_ESC
29,TLAXCALA,13,HUAMANTLA,8,EL CARMEN XALPATLAHUAYA,29MSU0011Z,UNIVERSIDAD TECNOLOGICA DE TLAXCALA (UTT),29EUT0001Z,UNIVERSIDAD TECNOLOGICA DE TLAXCALA (UTT),1,PÚBLICO,2,ESTATAL,1,28,22,6,10,9,1,0,0,0,0,0,0
29,TLAXCALA,2,APETATITLÁN DE ANTONIO CARVAJAL,5,TLATEMPAN,29MSU0012Z,UNIVERSIDAD PEDAGOGICA NACIONAL UNIDAD 291 TLAXCALA,29DUP0001O,UNIDAD 291 UNIVERSIDAD PEDAGOGICA NACIONAL TLAXCALA,1,PÚBLICO,5,FEDERAL TRANSFERIDO,1,43,11,32,7,2,5,11,2,9,4,1,3
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29ICI0001K,CENTRO DE INVESTIGACIONES INTERDISCIPLINARIAS SOBRE DESARROLLO REGIONAL,1,PÚBLICO,3,AUTÓNOMO,1,40,13,27,16,5,11,24,7,17,14,5,9
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29ICI0003I,CENTRO TLAXCALA DE BIOLOGIA DE LA CONDUCTA (CTBC),1,PÚBLICO,3,AUTÓNOMO,1,91,43,48,28,13,15,30,14,16,23,8,15
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29ICI0004H,CENTRO DE INVESTIGACIONES JURIDICO POLITICAS (CIJUREP),1,PÚBLICO,3,AUTÓNOMO,1,195,114,81,86,49,37,9,6,3,16,8,8
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,VILLA MARIANO MATAMOROS,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29ICI0005G,CENTRO DE INVESTIGACION EN GENETICA Y AMBIENTE (CIGYA),1,PÚBLICO,3,AUTÓNOMO,1,13,3,10,7,1,6,7,1,6,4,2,2
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,VILLA MARIANO MATAMOROS,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29ICI0006F,CENTRO DE INVESTIGACIONES EN CIENCIAS BIOLOGICAS (CICB),1,PÚBLICO,3,AUTÓNOMO,1,17,6,11,10,3,7,5,1,4,2,1,1
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29ICI0007E,CENTRO DE INVESTIGACION EDUCATIVA,1,PÚBLICO,3,AUTÓNOMO,1,31,11,20,31,11,20,0,0,0,0,0,0
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0001B,FACULTAD DE ODONTOLOGIA,1,PÚBLICO,3,AUTÓNOMO,1,23,4,19,7,1,6,9,2,7,9,2,7
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0002A,FACULTAD DE CIENCIAS DE LA EDUCACION,1,PÚBLICO,3,AUTÓNOMO,1,63,20,43,13,4,9,10,3,7,8,2,6
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0003Z,FACULTAD DE FILOSOFIA Y LETRAS,1,PÚBLICO,3,AUTÓNOMO,1,10,2,8,0,0,0,0,0,0,1,1,0
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0004Z,"FACULTAD DE TRABAJO SOCIAL, SOCIOLOGIA Y PSICOLOGIA",1,PÚBLICO,3,AUTÓNOMO,1,48,19,29,14,3,11,17,10,7,11,7,4
29,TLAXCALA,44,ZACATELCO,1,ZACATELCO,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0005Y,FACULTAD DE CIENCIAS DE LA SALUD,1,PÚBLICO,3,AUTÓNOMO,1,10,5,5,10,5,5,0,0,0,0,0,0
29,TLAXCALA,5,APIZACO,1,CIUDAD DE APIZACO,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0006X,FACULTAD DE INGENIERIA Y TECNOLOGIA,1,PÚBLICO,3,AUTÓNOMO,1,112,60,52,53,28,25,12,8,4,15,6,9
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0007W,"FACULTAD DE DERECHO, CIENCIAS POLITICAS Y CRIMINOLOGIA",1,PÚBLICO,3,AUTÓNOMO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0008V,FACULTAD DE CIENCIAS ECONOMICO ADMINISTRATIVAS,1,PÚBLICO,3,AUTÓNOMO,1,33,14,19,0,0,0,19,7,12,4,0,4
29,TLAXCALA,33,TLAXCALA,1,TLAXCALA DE XICOHTÉNCATL,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0009U,FACULTAD DE CIENCIAS PARA EL DESARROLLO HUMANO,1,PÚBLICO,3,AUTÓNOMO,1,8,0,8,0,0,0,0,0,0,0,0,0
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,1,VILLA MARIANO MATAMOROS,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0010J,FACULTAD DE AGROBIOLOGIA,1,PÚBLICO,3,AUTÓNOMO,1,17,6,11,2,1,1,0,0,0,0,0,0
29,TLAXCALA,5,APIZACO,1,CIUDAD DE APIZACO,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0011I,FACULTAD DE CIENCIAS BASICAS,1,PÚBLICO,3,AUTÓNOMO,1,7,2,5,2,1,1,0,0,0,0,0,0
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,1,CONTLA,29MSU0013Y,UNIVERSIDAD AUTONOMA DE TLAXCALA,29USU0012H,"FACULTAD DE DISEÑO, ARTE Y ARQUITECTURA",1,PÚBLICO,3,AUTÓNOMO,1,23,6,17,0,0,0,0,0,0,1,0,1
29,TLAXCALA,5,APIZACO,1,CIUDAD DE APIZACO,29MSU0014X,CENTRO DE REHABILITACION INTEGRAL,29PSU0006L,ESCUELA EN TERAPIA FISICA Y REHABILITACION,2,PRIVADO,1,PRIVADO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,36,TOTOLAC,1,SAN JUAN TOTOLAC,29MSU0015W,CENTRO DE ACTUALIZACION DEL MAGISTERIO,29DLT0001T,CENTRO DE ACTUALIZACION DEL MAGISTERIO,1,PÚBLICO,5,FEDERAL TRANSFERIDO,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TLAXCALA,2,APETATITLÁN DE ANTONIO CARVAJAL,1,APETATITLÁN,29MSU0016V,"EL COLEGIO DE TLAXCALA, A.C.",29PSU0011X,"EL COLEGIO DE TLAXCALA, A.C.",2,PRIVADO,1,PRIVADO,1,64,29,35,43,20,23,16,7,9,15,5,10
